layer_type,stack,thickness,layer_points,xmesh_coeff,EA,IP,E0,Et,Nc,Nv,Ncat,Nani,cmax,amax,mue,muh,mucat,muani,epp,g0,B,taun,taup,sn_l,sn_r,sp_l,sp_r,Phi_left,Phi_right,OM,xmesh_type,side,N_ionic_species
active,WO3,2.00E-05,200,0.7,-4.85,-7.62,-6.235,-6.235,1.00E+19,1.00E+19,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E-10,1.00E-10,50,1.00E+21,3.18E-11,1.00E+07,1.00E+07,1.00E+07,1.00E+00,1.00E+00,1.00E+07,-6.235,-5.715,0,5,1,0
junction,,2.00E-07,100,0.7,,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,,,,,,
active,BiVO4,2.00E-05,200,0.7,-4.46,-6.97,-5.715,-5.715,1.00E+19,1.00E+19,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E-10,1.00E-10,50,1.00E+21,3.18E-11,1.00E+07,1.00E+07,,,,,,,,,,
