layer_type,stack,thickness,layer_points,xmesh_coeff,EA,IP,E0,Et,Nc,Nv,Ncat,Nani,cmax,amax,mue,muh,mucat,muani,epp,g0,B,taun,taup,sn_l,sn_r,sp_l,sp_r,Phi_left,Phi_right,OM,xmesh_type,side,N_ionic_species
active,WO3,1.00E-05,100,0.7,-4.8,-7.7,-5.1,-6.00E+00,3.00E+19,3.00E+19,0.00E+00,0.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,5.00E+01,2.64E+21,1.00E-10,1.00E-07,1.00E-07,1.00E+07,1.00E+07,1.00E+07,1.00E+07,-5.00E+00,-5.00E+00,0.00E+00,5.00E+00,2.00E+00,0.00E+00
active,BiVO4,1.00E-05,100,0.7,-4.6,-7.00E+00,-6.00E+00,-6.00E+00,3.00E+19,3.00E+19,0.00E+00,0.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,5.00E+01,2.64E+21,1.00E-10,1.00E-07,1.00E-07,,,,,,,,,,
